Ch1,Ch2
-1,2
3,3
3,3
-1,7
3,4
3,3
-2,2
0,-3
3,2
2,-3
2,-2
3,0
-3,2
-2,3
1,2
3,5
3,10
7,10
-64,-222
-270,-186
4,184
298,126
-445,-1200
-1427,-880
-156,-186
-940,-1336
-678,481
846,-300
-1096,-419
1088,492
-1324,-2153
-1078,-117
-253,-409
-56,121
-598,-1048
-344,872
474,-397
-640,58
1020,1061
198,-1277
-63,2453
2483,930
-700,-872
-84,318
-460,-1903
-1536,-200
-59,190
-478,-1097
217,356
-826,-1560
571,2639
1947,-352
-2070,-2012
-1057,-2353
-3041,-676
1664,2643
1768,338
862,1990
1621,-384
-1336,-622
-700,-672
-274,341
605,-165
-1244,-729
-88,-130
-588,-783
-540,-329
-525,-362
452,1265
870,-606
-2037,-1992
-960,508
1857,2492
1231,-1653
-2001,-530
1064,2513
1108,-432
1709,5133
7326,5498
-348,-6631
-8781,-5421
-2455,-2480
-4610,-7902
-6480,-646
4653,7380
7843,7222
4659,1034
-1789,-2199
-993,-420
-1713,-2392
-1700,-111
525,652
-259,-2651
-3190,-1948
-138,270
411,221
-1408,-1309
21,1000
1201,1460
2738,4452
3629,253
-2942,-1784
567,989
-88,1380
4555,5494
2658,297
1188,1900
-196,-4204
-6640,-6946
-6432,-5550
-804,3418
3701,154
332,4146
6378,4889
1695,528
1989,472
-3819,-5388
-2012,2797
2702,-4004
-10574,-10451
-4021,2258
3689,1648
-1614,530
5287,4762
892,-2610
-3029,-1967
-830,628
3269,6229
6629,3388
387,-944
-1647,-3699
-4839,-3166
462,2493
1632,-241
-1727,-768
-139,-3726
-6023,-5034
-1174,4016
7860,8512
5521,1124
-2213,-2999
-642,1571
1420,37
-879,-530
-29,-742
-1449,-126
2129,3154
522,-4719
-4314,635
3234,-1841
-7328,-5413
2950,8684
7195,2252
2086,3696
2246,-2498
-3528,-924
-255,-3059
-4925,-2251
1395,2262
385,-618
712,1828
816,-234
228,624
-1993,-3623
-1904,1848
3048,1205
-426,245
3258,3299
-2461,-5654
-4780,-1886
37,-321
-1996,-3536
-2854,-834
879,4366
2774,-2535
-4630,-2301
600,-397
-2178,-2861
-1626,-1041
-1029,-2131
-3304,981
5557,5216
1529,-1732
-739,2513
4788,1791
-3305,2043
6201,4124
1380,-2264
-2424,-250
-334,-4422
-8076,-3736
-500,1484
4494,3142
-802,-4737
-6302,-2905
2179,3754
228,-2901
-1099,3843
5382,2200
-1067,2290
6819,5437
642,-1312
2103,6961
4585,-1405
-3488,-946
-96,-2987
-2209,-3564
-7541,-11886
-13081,-9817
-3939,2270
3658,1730
1508,3824
6942,8274
5970,4960
5361,3678
-4179,-10598
-7695,-556
2704,-1692
-7157,-9274
-5539,717
550,-3112
-5023,-3345
-1120,700
3102,3356
1983,1896
4353,9966
12164,5451
504,2521
7833,5849
-2253,-9068
-9545,-6136
-4976,-7750
-9434,-7006
-1996,856
2449,3135
3162,766
678,4419
6286,2870
-3552,-6796
-1193,6013
6352,2974
-154,550
3247,3795
780,-2863
-1816,440
-304,-1797
-5840,-6418
-150,4192
2788,-2194
-6246,-2166
5358,6756
842,-5289
-5148,-4073
-843,2019
262,938
1908,132
618,516
-1040,-3850
-1712,1684
-75,-5229
-7954,-4611
1839,3438
103,-1988
-1436,80
326,729
2194,3670
2147,68
-2111,-3689
-3889,-1216
2900,4539
1953,-2273
-3817,-394
3511,4083
716,416
2463,2979
2642,5161
9784,7041
3527,3779
6642,4662
-2190,-7203
-5004,-1006
-3377,-12737
-16384,-9188
2096,8446
4974,-2336
-4185,1440
7957,7615
3788,-1443
-4110,-601
3754,3777
-1000,-4965
-4486,-848
1672,1685
1081,2680
2337,1083
802,1636
-953,-6552
-9381,-4552
2549,3757
-1008,-3920
-978,2031
1291,-1540
-368,-61
1119,3248
3064,2145
1904,2013
116,-3917
-6463,-6278
-410,5022
474,-2697
-390,2954
2309,-3677
-7318,-1101
8694,11094
2740,-1470
1236,5194
7260,2164
-3816,-1881
-817,-1816
-2658,-962
-134,-2178
-2445,-6193
-6309,2239
7475,8441
5384,-1169
-3714,-1396
2096,327
-2093,-900
-933,606
2011,-499
938,754
-3744,-4753
